pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,pred_raw,calib,calib_thr,deauth_tgt,seq_jump,ap_bssid,channel,win_pkts,win_dens,win_deauth,win_probe,win_beacon,win_auth,gw_mac,gw_flip,label,attack_type,timestamp
45917,BEACON,-93,4,0,480,65288,37148,11468727,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,2,73.8,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:30.809385
45917,,-61,36,2579,1625,65288,37148,11469052,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,17,380.8,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:31.134385
45917,,-91,6,16174,0,65288,37148,11469224,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,1,86.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:31.305228
45917,BEACON,-57,40,3864,1211,65288,37148,11469622,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,11,107.4,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:31.703228
45917,BEACON,-90,7,0,2856,65288,37148,11470101,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,7,96.9,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:32.181329
45917,BEACON,-90,7,0,3574,65288,37148,11470527,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,8,92.7,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:32.607329
45917,,-91,6,1712,0,65288,37148,11470974,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,3,126.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:33.054329
45917,,-53,44,419,802,65288,37148,11471347,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,18,206.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:33.427329
45917,BEACON,-85,12,42841,65,65288,37148,11471727,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,2,34.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:33.807329
45917,BEACON,-96,1,0,567,65288,37148,11471970,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,29,297.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:34.050329
45917,,4,4,0,0,65288,37148,11472465,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,5,301.8,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:34.545329
45917,,-52,45,2830,842,65288,37148,11472643,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,39,419.4,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:34.723329
45917,,-92,5,22130,3309,65288,37148,11472973,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,16,168.2,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:35.053329
45917,,-91,6,8289,0,65288,37148,11473318,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,4,155.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:35.398329
45917,,-91,6,6107,2226,65288,37148,11473759,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,7,121.1,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:35.839329
45917,MGMT_OTHER,-94,3,819,0,65288,37148,11474123,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,3,255.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:36.203329
45917,BEACON,-84,13,32421,92,65288,37148,11474492,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,8,108.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:36.572329
45917,,-92,5,624,0,65288,37148,11474716,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,19,204.4,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:36.796329
45917,BEACON,-57,40,0,1269,65288,37148,11475049,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,1,482.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:37.129329
45917,BEACON,-90,7,0,2908,65288,37148,11475426,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,13,185.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:37.506329
45917,MGMT_OTHER,-90,7,10023,0,65288,37148,11475593,0,100,163767,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,5,157.7,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:37.673329
45917,BEACON,-57,40,259,1278,65288,37148,11475868,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,18,175.8,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:37.948329
45917,,-52,45,759,865,65288,37148,11476083,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,15,1438.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:38.163329
45917,BEACON,-95,2,0,555,65288,37148,11476252,0,100,163767,0,0,14:33:5C:6D:AF:58,1,1,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,7,91.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:38.331793
45917,BEACON,-89,8,0,3633,65288,37148,11476569,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,10,115.8,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:38.648793
45917,,-49,48,4972,1975,65288,37148,11476738,0,100,163767,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,12,238.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:38.817486
45917,,-51,46,4782,1980,65288,37148,11476881,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,38,415.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:38.960486
45917,,-53,44,0,2850,65288,37148,11477016,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,20,928.4,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:39.095486
45917,BEACON,-90,7,0,2925,65288,37148,11477171,0,100,163767,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,17,221.9,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:39.250486
45917,,-50,47,9630,939,65288,37148,11477348,0,100,163767,0,0,14:33:5C:6D:AF:58,1,1,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,11,215.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:39.427486
45917,,-51,46,0,2886,65288,37148,11477454,0,100,163767,0,0,14:33:5C:6D:AF:58,1,1,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,33,597.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:39.533486
45917,,-90,7,692,0,65288,37148,11477557,0,100,163767,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,31,551.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:39.636486
45917,BEACON,-88,9,81,2930,65288,37148,11477679,0,100,163767,0,0,14:33:5C:6D:AF:58,1,1,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,35,470.2,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:39.758486
45917,,-58,39,0,951,65288,37148,11477818,0,100,163767,0,0,14:33:5C:6D:AF:58,1,1,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,7,695.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:39.897486
45917,BEACON,-87,10,0,3249,65288,37148,11477990,0,100,163767,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,25,316.2,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:40.069486
45917,,-58,39,565,2023,65288,37148,11478154,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,9,227.7,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:40.233486
45917,,-51,46,9349,2033,65288,37148,11478422,0,100,163767,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,1,1000.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:40.501486
45917,,-50,47,5431,2037,65288,37148,11478634,0,100,163767,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,3,443.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T16:59:40.713486
