pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,pred_raw,calib,calib_thr,deauth_tgt,seq_jump,ap_bssid,channel,win_pkts,win_dens,win_deauth,win_probe,win_beacon,win_auth,gw_mac,gw_flip,label,attack_type,timestamp
45917,,-90,7,35368,0,65288,42840,2735797,0,56,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,2,194.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:33:57.758878
45917,,-53,44,7279,853,65288,42840,2736170,0,56,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,11,144.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:33:58.131878
45917,BEACON,-57,40,5231,1727,65288,42840,2736576,0,56,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,6,87.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:33:58.536574
45917,BEACON,-95,2,0,1470,65288,42840,2736943,0,56,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,2,210.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:33:58.902917
45917,BEACON,-88,9,0,220,65288,42840,2737301,0,56,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,10,182.7,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:33:59.260917
45917,BEACON,-57,40,0,1740,65288,42840,2737804,0,56,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,11,103.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:33:59.763917
45917,MGMT_OTHER,-91,6,16200,0,65288,42840,2738154,0,56,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,9,201.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:34:00.113917
45917,BEACON,-95,2,0,1485,65288,42840,2738480,0,56,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,10,164.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:34:00.439097
45917,BEACON,-87,10,0,1777,65288,42840,2738821,0,56,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,14,146.8,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:34:00.780097
45917,,-89,8,16639,0,65288,42840,2739157,0,56,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,3,232.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:34:01.116097
45917,BEACON,-93,4,0,1494,65288,42840,2739403,0,56,9,0,0,14:33:5C:6D:AF:58,1,1,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,10,187.1,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:34:01.362097
45917,BEACON,-92,5,0,2929,65288,42840,2739710,0,56,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,8,151.9,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:34:01.669097
45917,BEACON,-87,10,0,778,65216,42840,2739959,0,56,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,18,228.9,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:34:01.918097
45917,BEACON,-85,12,0,3129,65228,42840,2740194,0,56,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,1,254.4,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:34:02.153097
