pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,pred_raw,calib,calib_thr,deauth_tgt,seq_jump,ap_bssid,channel,win_pkts,win_dens,win_deauth,win_probe,win_beacon,win_auth,gw_mac,gw_flip,label,attack_type,timestamp
45917,BEACON,-90,7,0,1381,65296,42840,3214486,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,3,117.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:56.451354
45917,BEACON,-90,7,0,1386,65296,42840,3214999,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,2,78.1,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:56.964354
45917,,64,64,0,0,65296,42840,3215766,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,6,78.4,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:57.731354
45917,MGMT_OTHER,-92,5,53499,359,65296,42840,3216358,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,5,92.2,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:58.323354
45917,BEACON,-68,29,0,3477,65296,42840,3216931,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,1,77.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:58.896354
45917,,-63,34,292,1052,65296,42840,3217232,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,6,1012.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:59.197354
45917,BEACON,-80,17,50,2521,65296,42840,3217840,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,11,107.4,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:41:59.805354
45917,,-56,41,0,725,65296,42840,3218355,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,8,3173.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:00.320354
45917,,-56,41,24970,729,65296,42840,3219111,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,4,95.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:01.076354
45917,BEACON,-91,6,0,1877,65296,42840,3219725,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,4,96.9,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:01.690354
