pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,deauth_tgt,seq_jump,ap_bssid,channel,label,attack_type,timestamp
45917,,-53,38,110,3041,69844,44280,8053559,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:32.934533
45917,MGMT_OTHER,-90,1,5437,2919,69844,44280,8053724,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:33.099533
45917,,-89,2,12257,140,69844,44280,8053932,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:33.307533
45917,MGMT_OTHER,-88,3,3006,2262,69844,44280,8054149,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:33.524533
45917,PROBE_RESP,-90,1,0,1,69844,44280,8054442,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:33.817533
45917,PROBE_REQ,-80,11,0,2521,69844,44280,8054542,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:33.917533
45917,PROBE_RESP,-93,-2,7957,2647,69844,44280,8054692,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:34.067533
45917,,-93,-2,2751,3528,69844,44280,8054903,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:34.278533
45917,,-88,3,26989,3086,69844,44280,8055268,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:34.643533
45917,,-53,38,2868,3088,69844,44280,8055432,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:34.807533
45917,BEACON,-53,38,0,3095,69844,44280,8055726,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:35.101533
45917,,-84,7,18754,0,66880,44280,8055920,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:35.295533
45917,BEACON,-94,-3,12069,257,69844,44280,8056100,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:35.475533
45917,,-92,-1,283,3825,69844,44280,8056371,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:35.746533
45917,,-90,1,182,1439,69844,44280,8056627,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:36.002533
45917,MGMT_OTHER,-92,-1,4241,3049,69844,44280,8056876,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:36.251533
45917,MGMT_OTHER,-92,-1,1375,3227,69844,44280,8057153,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:36.528533
45917,MGMT_OTHER,-92,-1,6112,358,69844,44280,8057255,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:36.630533
45917,,-54,37,111,3175,69696,44280,8057360,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:36.735533
45917,,-88,3,17888,3224,69844,44280,8057557,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:36.932533
45917,PROBE_RESP,-93,-2,0,1,69844,44280,8057687,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:37.062533
45917,,-87,4,10457,254,69844,44280,8057842,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:37.217533
45917,BEACON,-52,39,0,3221,69844,44280,8058081,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:37.456533
45917,BEACON,-82,9,11289,3518,69844,44280,8058460,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:37.835533
45917,BEACON,-82,9,298,3519,69844,44280,8058563,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:37.938533
45917,,-83,8,264,198,69844,44280,8058766,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:38.141533
45917,BEACON,-86,5,0,340,69844,44280,8058997,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:38.372533
45917,PROBE_REQ,-89,2,0,3231,69844,44280,8059222,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:38.597533
45917,,-88,3,12071,2424,69844,44280,8059444,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:38.819533
45917,PROBE_RESP,-82,9,0,3,69844,44280,8059665,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:39.040533
45917,,-54,37,111,3258,69828,44280,8059908,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:39.283533
45917,,11,11,0,1023,69844,44280,8060007,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:39.382533
45917,,11,11,0,3267,69844,44280,8060220,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:39.595533
45917,,-91,0,12285,3564,69844,44280,8060469,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:39.844533
45917,,-55,36,15539,3287,69844,44280,8060758,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:40.133533
45917,,-92,-1,11849,2365,69844,44280,8060955,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:40.330533
45917,PROBE_RESP,-85,6,0,2,69844,44280,8061190,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:40.565533
45917,BEACON,-55,36,0,3301,69844,44280,8061256,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:40.631533
45917,,-86,5,3274,559,69844,44280,8061389,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:40.764533
45917,,-92,-1,7547,3773,69844,44280,8061607,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:40.982533
