pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,pred_raw,calib,calib_thr,deauth_tgt,seq_jump,ap_bssid,channel,win_pkts,win_dens,gw_mac,gw_flip,label,attack_type,timestamp
45917,MGMT_OTHER,-87,10,533,2855,65416,43376,262868,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,84,825.3,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:26.605269
45917,PROBE_REQ,-88,9,50,1073,64528,43376,262911,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,50,1119.9,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:26.648269
45917,,39,39,0,130,65416,43376,262944,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,100,1288.0,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:26.654604
45917,,39,39,0,764,65416,43376,262995,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,0,80:02:9C:61:97:4B,11,33,1185.9,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:26.654859
45917,MGMT_OTHER,-86,11,0,1126,65416,43376,263073,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,3,772.0,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:26.732859
45917,PROBE_REQ,-86,11,1002,15,64772,43376,263125,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,0,80:02:9C:61:97:4B,11,53,934.2,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:26.784859
45917,MGMT_OTHER,-87,10,48,2310,64128,43376,263180,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,7,659.6,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:26.839859
45917,PROBE_REQ,-92,5,175,14,63484,43376,263219,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,57,1147.7,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:26.878859
45917,MGMT_OTHER,-91,6,1799,0,62840,43376,263253,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,107,1277.8,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:26.901079
45917,PROBE_REQ,-91,6,0,14,65400,43376,263326,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,32,576.1,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:26.974079
45917,MGMT_OTHER,-88,9,2063,398,64772,43376,263373,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,82,816.9,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:27.021079
45917,,39,39,0,432,65416,43376,263509,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,0,80:02:9C:61:97:4B,11,9,241.8,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:27.148097
45917,,27,27,0,3738,65416,43376,263722,0,68,10,0,0,14:33:5C:6D:AF:58,1,0,ARMED,70.0,0,0,80:02:9C:61:97:4B,11,19,464.0,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:27.358939
45917,,38,38,0,3740,65416,43376,263950,0,68,10,0,0,14:33:5C:6D:AF:58,0,0,ARMED,70.0,0,0,80:02:9C:61:97:4B,11,22,347.9,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:27.586196
45917,,26,26,0,3719,65416,43376,264183,0,68,10,0,0,14:33:5C:6D:AF:58,0,1,ARMED,70.0,0,0,80:02:9C:61:97:4B,11,11,120.2,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:27.819196
45917,,26,26,0,1023,65416,43376,264481,0,68,10,0,0,14:33:5C:6D:AF:58,0,0,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,18,216.4,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:28.117196
45917,PROBE_REQ,-92,5,391,1302,65416,43376,264647,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,17,393.8,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:28.283196
45917,MGMT_OTHER,-88,9,9089,1207,65416,43376,264730,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,12,481.3,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:28.366196
45917,MGMT_OTHER,-90,7,0,1817,65416,43376,264812,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,7,1256.5,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:28.448196
45917,MGMT_OTHER,-89,8,49,3778,65416,43376,264858,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,57,1115.0,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:28.494196
45917,MGMT_OTHER,-89,8,48,1789,65416,43376,264938,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,15,536.3,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:28.574196
45917,MGMT_OTHER,-88,9,48,2013,64772,43376,264981,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,65,911.5,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:28.617196
45917,BEACON,-67,30,2000,1518,64128,43376,265031,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,12,650.8,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:28.667196
45917,MGMT_OTHER,-91,6,2063,2967,65416,43376,265075,0,68,10,0,0,14:33:5C:6D:AF:58,1,1,ARMED,70.0,0,1,80:02:9C:61:97:4B,11,62,982.8,80:02:9C:61:97:4A,2,0,NONE,2026-08-19T16:21:28.711196
