pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,pred_raw,calib,calib_thr,deauth_tgt,seq_jump,ap_bssid,channel,win_pkts,win_dens,gw_mac,gw_flip,label,attack_type,timestamp
45917,,-56,41,711,2884,65508,45200,708676,0,99,0,256,8999,14:33:5C:6D:AF:58,1,1,ARMED,448.0,0,0,80:02:9C:61:97:4B,1,49,1757.7,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.612132
45917,,-55,42,341,2924,64080,45200,708695,0,99,0,256,9000,14:33:5C:6D:AF:58,1,1,ARMED,448.0,0,0,80:02:9C:61:97:4B,1,99,2110.3,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.631132
45917,,-55,42,250,2961,65508,45200,708707,0,99,0,256,9001,14:33:5C:6D:AF:58,1,1,ARMED,448.0,0,0,80:02:9C:61:97:4B,1,149,2520.9,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.643132
45917,,-55,42,82,3971,65508,45200,709261,0,99,0,256,9008,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,3,804.9,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.668314
45917,BEACON,-56,41,0,3973,65508,45200,709462,0,99,0,256,9009,14:33:5C:6D:AF:58,0,1,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,43,419.9,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.668435
45917,,-56,41,155,3116,65508,45200,709623,0,99,0,256,9010,14:33:5C:6D:AF:58,0,1,ARMED,448.0,0,0,80:02:9C:61:97:4B,1,22,361.1,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.668544
45917,,-69,28,0,1078,65508,45200,709748,0,99,0,256,9011,14:33:5C:6D:AF:58,1,1,ARMED,448.0,0,0,80:02:9C:61:97:4B,1,38,439.8,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.668648
45917,BEACON,-89,8,0,983,65508,45200,709902,0,99,0,256,9012,14:33:5C:6D:AF:58,0,1,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,6,199.0,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.668756
45917,PROBE_REQ,-57,40,0,3123,65508,45200,710105,0,99,0,256,9013,14:33:5C:6D:AF:58,0,1,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,12,411.5,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.668882
45917,MGMT_OTHER,32,32,0,987,65460,45200,710311,0,99,0,256,9014,14:33:5C:6D:AF:58,1,0,ARMED,448.0,0,0,80:02:9C:61:97:4B,1,7,229.8,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.668988
45917,,-56,41,1049,1293,65508,45200,710568,0,99,0,256,9015,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,25,303.2,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.669085
45917,,-39,58,0,50,65508,45200,710996,0,99,0,256,9016,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,9,89.3,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.669177
45917,BEACON,-89,8,0,996,65508,45200,711233,0,99,0,256,9017,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,3,99.6,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.669282
45917,BEACON,-85,12,0,4023,65508,45200,711593,0,99,0,256,9018,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,11,131.7,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.669362
45917,BEACON,-85,12,0,3311,65508,45200,712101,0,99,0,256,9019,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,6,75.4,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.669438
45917,BEACON,-89,8,0,2943,65508,45200,712660,0,99,0,256,9020,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,2,84.3,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.669515
45917,,-68,29,8099,1129,65436,45200,713072,0,99,0,256,9021,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,11,412.5,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.669600
45917,,-68,29,0,1148,65508,45200,713336,0,99,0,256,9022,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,0,80:02:9C:61:97:4B,1,20,233.4,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.669680
45917,BEACON,-90,7,0,1079,65508,45200,713695,0,99,0,256,9023,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,0,80:02:9C:61:97:4B,1,8,232.4,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.669775
45917,,-90,7,108271,3385,65508,45200,714040,0,99,0,256,9024,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,5,68.9,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.669864
45917,BEACON,-92,5,0,1087,65508,45200,714524,0,99,0,256,9025,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,0,80:02:9C:61:97:4B,1,7,157.2,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.670016
45917,BEACON,-76,21,3419,924,65508,45200,714609,0,99,0,256,9026,14:33:5C:6D:AF:58,0,1,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,29,1064.5,80:02:9C:61:97:4A,0,0,NONE,2026-08-24T15:21:55.670105
