pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,pred_raw,calib,calib_thr,deauth_tgt,seq_jump,ap_bssid,channel,win_pkts,win_dens,gw_mac,gw_flip,label,attack_type,timestamp
45917,BEACON,-89,8,0,1456,65384,29260,2849857,0,99,7,0,0,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,0,80:02:9C:61:97:4B,1,4,113.0,80:02:9C:61:97:4A,4,0,NONE,2026-08-24T15:56:40.123177
45917,,-90,7,3194,1900,65384,29260,2850230,0,99,7,0,0,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,1,1000.0,80:02:9C:61:97:4A,4,0,NONE,2026-08-24T15:56:40.496177
45917,,52,52,0,1715,65384,29260,2850537,0,99,7,0,0,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,0,80:02:9C:61:97:4B,1,2,2000.0,80:02:9C:61:97:4A,4,0,NONE,2026-08-24T15:56:40.803001
45917,,51,51,0,1023,65384,29260,2850726,0,99,7,0,0,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,0,80:02:9C:61:97:4B,1,27,312.0,80:02:9C:61:97:4A,4,0,NONE,2026-08-24T15:56:40.992001
45917,,-46,51,0,4,65384,29260,2850881,0,99,7,0,0,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,0,80:02:9C:61:97:4B,1,20,537.2,80:02:9C:61:97:4A,4,0,NONE,2026-08-24T15:56:41.147001
45917,BEACON,-91,6,0,1411,65384,29260,2850979,0,99,7,0,0,14:33:5C:6D:AF:58,0,1,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,23,695.5,80:02:9C:61:97:4A,4,0,NONE,2026-08-24T15:56:41.245001
45917,,-89,8,19460,1816,65384,29260,2851140,0,99,7,0,0,14:33:5C:6D:AF:58,0,1,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,23,253.4,80:02:9C:61:97:4A,4,0,NONE,2026-08-24T15:56:41.405823
45917,,-58,39,8166,2319,65384,29260,2851438,0,99,7,0,0,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,11,148.0,80:02:9C:61:97:4A,4,0,NONE,2026-08-24T15:56:41.703823
45917,,-58,39,8166,2319,65384,29260,2851438,0,99,7,0,0,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,11,148.0,80:02:9C:61:97:4A,4,0,NONE,2026-08-24T15:56:41.703823
45917,,-86,11,7612,3288,65384,29260,2851760,0,99,7,0,0,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,8,111.1,80:02:9C:61:97:4A,4,0,NONE,2026-08-24T15:56:42.025823
45917,,-85,12,7675,3786,65384,29260,2851962,0,99,7,0,0,14:33:5C:6D:AF:58,0,0,ARMED,448.0,0,1,80:02:9C:61:97:4B,1,14,226.0,80:02:9C:61:97:4A,4,0,NONE,2026-08-24T15:56:42.227823
